"","hgnc_symbol"
"777","ENPEP"
"778","DHODH"
"779","MRE11"
"780","CTPS1"
"781","DTYMK"
"782","UCK2"
"783","CGAS"
"784","CDA"
"785","WIPI2"
"786","CAD"
"787","CMPK1"
"788","UMPS"
"789","DCTPP1"
"790","DCTD"
"791","RAD50"
"792","DUT"
"793","TYMS"
"794","SAR1A"
"795","MAPK10"
"796","MAP3K9"
"797","MAP3K10"
"798","MAP3K11"
"799","ATF2"
"800","JUND"
"801","MAP3K1"
"802","TP53"
